– checkpoints gifs LICENSE logs pixi.lock pixi.toml README.md results scripts slides slurm-out-iddpg_01.log slurm-out-iddpg_fast.log slurm-out-maddpg_01.log slurm-out-maddpg_fast.log src 81

Job started: Thu Jun 18 10:42:21 PM UTC 2026
Host: gpunode01.dyn.scc.plus.ac.at
Python Version:
Python 3.12.13
===============================
Training started: Thu Jun 18 10:42:21 PM UTC 2026

Using device: cuda
error: XDG_RUNTIME_DIR is invalid or not set in the environment.
Starting Training (Independent DDPG) - FAST MODE...
Ep 33000/60000 | Noise: 0.09 | Avg Rewards: [adversary_0: 17.08, adversary_1: 17.08, adversary_2: 17.08, agent_0: -23.57]
Ep 33500/60000 | Noise: 0.09 | Avg Rewards: [adversary_0: 15.74, adversary_1: 15.74, adversary_2: 15.74, agent_0: -22.11]
Ep 34000/60000 | Noise: 0.09 | Avg Rewards: [adversary_0: 16.08, adversary_1: 16.08, adversary_2: 16.08, agent_0: -22.14]
Ep 34500/60000 | Noise: 0.08 | Avg Rewards: [adversary_0: 14.66, adversary_1: 14.66, adversary_2: 14.66, agent_0: -21.13]
Ep 35000/60000 | Noise: 0.08 | Avg Rewards: [adversary_0: 15.56, adversary_1: 15.56, adversary_2: 15.56, agent_0: -21.70]
Ep 35500/60000 | Noise: 0.08 | Avg Rewards: [adversary_0: 14.58, adversary_1: 14.58, adversary_2: 14.58, agent_0: -21.22]
Ep 36000/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 13.94, adversary_1: 13.94, adversary_2: 13.94, agent_0: -19.27]
Ep 36500/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 15.14, adversary_1: 15.14, adversary_2: 15.14, agent_0: -20.97]
Ep 37000/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 16.70, adversary_1: 16.70, adversary_2: 16.70, agent_0: -22.58]
Ep 37500/60000 | Noise: 0.07 | Avg Rewards: [adversary_0: 15.22, adversary_1: 15.22, adversary_2: 15.22, agent_0: -20.70]
Ep 38000/60000 | Noise: 0.06 | Avg Rewards: [adversary_0: 15.24, adversary_1: 15.24, adversary_2: 15.24, agent_0: -21.69]
Ep 38500/60000 | Noise: 0.06 | Avg Rewards: [adversary_0: 16.10, adversary_1: 16.10, adversary_2: 16.10, agent_0: -22.50]
Ep 39000/60000 | Noise: 0.06 | Avg Rewards: [adversary_0: 17.04, adversary_1: 17.04, adversary_2: 17.04, agent_0: -23.37]
Ep 39500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 16.64, adversary_1: 16.64, adversary_2: 16.64, agent_0: -22.72]
Ep 40000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 16.04, adversary_1: 16.04, adversary_2: 16.04, agent_0: -22.62]
Ep 40500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 16.80, adversary_1: 16.80, adversary_2: 16.80, agent_0: -22.90]
Ep 41000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 14.06, adversary_1: 14.06, adversary_2: 14.06, agent_0: -20.27]
Ep 41500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 14.52, adversary_1: 14.52, adversary_2: 14.52, agent_0: -21.13]
Ep 42000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 14.02, adversary_1: 14.02, adversary_2: 14.02, agent_0: -20.73]
Ep 42500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.66, adversary_1: 11.66, adversary_2: 11.66, agent_0: -19.30]
Ep 43000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 12.84, adversary_1: 12.84, adversary_2: 12.84, agent_0: -20.22]
Ep 43500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 12.94, adversary_1: 12.94, adversary_2: 12.94, agent_0: -20.16]
Ep 44000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 12.28, adversary_1: 12.28, adversary_2: 12.28, agent_0: -18.36]
